Category,Name,Module,Signature,Description
Class,BaseChronosPipeline,chronos.base,(inner_model: 'PreTrainedModel'),(No description available)
Class,ForecastType,chronos.base,"(value, names=None, *, module=None, qualname=None, type=None, start=1, boundary=None)",Create a collection of name/value pairs.
Class,PipelineRegistry,chronos.base,"(name, bases, attrs)",type(object) -> the object's type
Function,left_pad_and_stack_1D,chronos.base,(tensors: List[torch.Tensor]) -> torch.Tensor,(No description available)
Function,cache_model_from_s3,chronos.boto_utils,"(s3_uri: str, force_download: bool = False, boto3_session: boto3.session.Session | None = None)",(No description available)
Function,download_model_files_from_cloudfront,chronos.boto_utils,"(cloudfront_url: str, bucket: str, prefix: str, local_path: pathlib.Path, force_download: bool = False) -> None",(No description available)
Function,download_model_files_from_s3,chronos.boto_utils,"(bucket: str, prefix: str, local_path: pathlib.Path, force_download: bool = False, boto3_session: boto3.session.Session | None = None) -> None",(No description available)
Class,ChronosConfig,chronos.chronos,"(tokenizer_class: str, tokenizer_kwargs: Dict[str, Any], context_length: int, prediction_length: int, n_tokens: int, n_special_tokens: int, pad_token_id: int, eos_token_id: int, use_eos_token: bool, model_type: Literal['causal', 'seq2seq'], num_samples: int, temperature: float, top_k: int, top_p: float) -> None",This class holds all the configuration parameters to be used
Class,ChronosModel,chronos.chronos,"(config: chronos.chronos.ChronosConfig, model: transformers.modeling_utils.PreTrainedModel) -> None",A ``ChronosModel`` wraps a ``PreTrainedModel`` object from ``transformers``
Class,ChronosPipeline,chronos.chronos,"(tokenizer, model)",A ``ChronosPipeline`` uses the given tokenizer and model to forecast
Class,ChronosTokenizer,chronos.chronos,(),A ``ChronosTokenizer`` defines how time series are mapped into token IDs
Class,MeanScaleUniformBins,chronos.chronos,"(low_limit: float, high_limit: float, config: chronos.chronos.ChronosConfig) -> None",A ``ChronosTokenizer`` defines how time series are mapped into token IDs
Class,Chronos2CoreConfig,chronos.chronos2,"(d_model: int = 512, d_kv: int = 64, d_ff: int = 2048, num_layers: int = 6, num_heads: int = 8, dropout_rate: float = 0.1, layer_norm_epsilon: float = 1e-06, initializer_factor: float = 0.05, feed_forward_proj: str = 'relu', vocab_size: int = 2, pad_token_id: int = 0, rope_theta: float = 10000.0, attn_implementation: Optional[Literal['eager', 'sdpa']] = None, **kwargs)","HF transformers-style pretrained model config for Chronos-2.0, based on T5Config."
Class,Chronos2Dataset,chronos.chronos2,"(inputs: Sequence[Mapping[str, Union[torch.Tensor, numpy.ndarray, Mapping[str, torch.Tensor | numpy.ndarray | None]]]], context_length: int, prediction_length: int, batch_size: int, output_patch_size: int, min_past: int = 1, mode: str | chronos.chronos2.dataset.DatasetMode = <DatasetMode.TRAIN: 'train'>) -> None",A dataset wrapper for Chronos-2 models.
Class,Chronos2ForecastingConfig,chronos.chronos2,"(context_length: int, output_patch_size: int, input_patch_size: int, input_patch_stride: int, quantiles: List[float], use_reg_token: bool = False, use_arcsinh: bool = False, max_output_patches: int = 1, time_encoding_scale: int | None = None) -> None","Chronos2ForecastingConfig(context_length: int, output_patch_size: int, input_patch_size: int, input_patch_stride: int, quantiles: List[float], use_reg_token: bool = False, use_arcsinh: bool = False, max_output_patches: int = 1, time_encoding_scale: int | None = None)"
Class,Chronos2Model,chronos.chronos2,(config: chronos.chronos2.config.Chronos2CoreConfig),Base class for all models.
Class,Chronos2Pipeline,chronos.chronos2,(model: chronos.chronos2.model.Chronos2Model),(No description available)
Class,DatasetMode,chronos.chronos2.dataset,"(value, names=None, *, module=None, qualname=None, type=None, start=1, boundary=None)",str(object='') -> str
Function,convert_fev_window_to_list_of_dicts_input,chronos.chronos2.dataset,"(window: 'fev.EvaluationWindow', as_univariate: bool) -> tuple[list[dict[str, numpy.ndarray | dict[str, numpy.ndarray]]], list[str], list[str], list[str]]",(No description available)
