SubCategory,Type,Name,Docstring,File,Args
1. Dataset Construction,Class,ConcatDatasetBuilder,Concatenates DatasetBuilders such that they can be loaded together.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.__init__,:param builders: DatasetBuilders to be concatenated together.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.build_dataset,,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,ConcatDatasetBuilder.load_dataset,Loads all builders with ConcatDataset.,src\uni2ts\data\builder\_base.py,transform_map
1. Dataset Construction,Class,DatasetBuilder,Base class for DatasetBuilders.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,DatasetBuilder.build_dataset,Builds the dataset into the required file format.,src\uni2ts\data\builder\_base.py,
1. Dataset Construction,Method,DatasetBuilder.load_dataset,Load the dataset.,src\uni2ts\data\builder\_base.py,transform_map
1. Dataset Construction,Class,LOTSADatasetBuilder,Base class for LOTSA dataset builders.,src\uni2ts\data\builder\lotsa_v1\_base.py,
1. Dataset Construction,Method,LOTSADatasetBuilder.__init__,:param datasets: list of datasets to load,src\uni2ts\data\builder\lotsa_v1\_base.py,"datasets, weight_map, sample_time_series, storage_path"
1. Dataset Construction,Method,LOTSADatasetBuilder.load_dataset,Loads all datasets in dataset_list,src\uni2ts\data\builder\lotsa_v1\_base.py,transform_map
1. Dataset Construction,Class,Buildings900KDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,
1. Dataset Construction,Method,Buildings900KDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,"dataset, num_proc"
1. Dataset Construction,Class,BuildingsBenchDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,
1. Dataset Construction,Method,BuildingsBenchDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py,dataset
1. Dataset Construction,Class,CloudOpsTSFDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py,
1. Dataset Construction,Method,CloudOpsTSFDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py,"dataset, num_proc"
1. Dataset Construction,Class,CMIP6DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cmip6.py,
1. Dataset Construction,Method,CMIP6DatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\cmip6.py,"dataset, num_proc"
1. Dataset Construction,Class,ERA5DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\era5.py,
1. Dataset Construction,Method,ERA5DatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\era5.py,"dataset, num_proc"
1. Dataset Construction,Class,GluonTSDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,
1. Dataset Construction,Method,GluonTSDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,dataset
1. Dataset Construction,Function,default_prediction_length_from_frequency,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,freq
1. Dataset Construction,Function,generate_forecasting_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py,"dataset_path, dataset_name, dataset_writer, prediction_length"
1. Dataset Construction,Class,LargeSTDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\largest.py,
1. Dataset Construction,Method,LargeSTDatasetBuilder.build_dataset,,src\uni2ts\data\builder\lotsa_v1\largest.py,"dataset, num_proc"
1. Dataset Construction,Class,LibCityDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\lib_city.py,
