SubCategory,Name,Docstring,File
1. Dataset Construction,Buildings900KDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py
1. Dataset Construction,BuildingsBenchDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\buildings_bench.py
1. Dataset Construction,CMIP6DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cmip6.py
1. Dataset Construction,CloudOpsTSFDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\cloudops_tsf.py
1. Dataset Construction,ConcatDatasetBuilder,Concatenates DatasetBuilders such that they can be loaded together.,src\uni2ts\data\builder\_base.py
1. Dataset Construction,DatasetBuilder,Base class for DatasetBuilders.,src\uni2ts\data\builder\_base.py
1. Dataset Construction,ERA5DatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\era5.py
1. Dataset Construction,GluonTSDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
1. Dataset Construction,LOTSADatasetBuilder,Base class for LOTSA dataset builders.,src\uni2ts\data\builder\lotsa_v1\_base.py
1. Dataset Construction,LargeSTDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\largest.py
1. Dataset Construction,LibCityDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\lib_city.py
1. Dataset Construction,OthersLOTSADatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\others.py
1. Dataset Construction,ProEnFoDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\proenfo.py
1. Dataset Construction,SimpleDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SimpleEvalDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SimpleFinetuneDatasetBuilder,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,SubseasonalDatasetBuilder,,src\uni2ts\data\builder\lotsa_v1\subseasonal.py
1. Dataset Construction,default_prediction_length_from_frequency,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
1. Dataset Construction,generate_eval_builder,"By default, 'distance' is set to prediction length for rolling evaluation.",src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_eval_builders,,src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_finetune_builder,"By default, 'distance' is set to 1 for sliding window. A larger value can be used to reduce computational cost.",src\uni2ts\data\builder\simple.py
1. Dataset Construction,generate_forecasting_dataset,,src\uni2ts\data\builder\lotsa_v1\gluonts.py
2. Patching & Batching,Collate,A Callable abstract class for PyTorch DataLoader's collate_fn argument.,src\uni2ts\data\loader.py
2. Patching & Batching,DefaultPatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,EvalPad,,src\uni2ts\transform\pad.py
2. Patching & Batching,FixedPatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,FlatPackCollection,,src\uni2ts\transform\reshape.py
2. Patching & Batching,FlatPackFields,,src\uni2ts\transform\reshape.py
2. Patching & Batching,GetPatchSize,,src\uni2ts\transform\patch.py
2. Patching & Batching,PackCollate,Packs uneven sequences with the first fit decreasing bin packing strategy.,src\uni2ts\data\loader.py
2. Patching & Batching,PackCollection,,src\uni2ts\transform\reshape.py
2. Patching & Batching,PackFields,,src\uni2ts\transform\reshape.py
2. Patching & Batching,Pad,,src\uni2ts\transform\pad.py
2. Patching & Batching,PadCollate,Pads uneven sequences with padding function defined by pad_func_map.,src\uni2ts\data\loader.py
2. Patching & Batching,PadFreq,,src\uni2ts\transform\pad.py
2. Patching & Batching,PatchSizeConstraints,,src\uni2ts\transform\patch.py
2. Patching & Batching,Patchify,,src\uni2ts\transform\patch.py
