Category,Function/Class,Argument,Type Hint,Default,Docstring Hint,Verified Range/Options
1. Initialization,TimesFM_2p5_200M_torch,args,Any,**Required**,,
1. Initialization,TimesFM_2p5_200M_torch,kwargs,Any,**Required**,,
2. Loading,from_pretrained,pretrained_model_name_or_path,"Union[str, pathlib.Path]",**Required**,"pretrained_model_name_or_path (`str`, `Path`): - Either the `model_id` (string) of a model hosted on the Hub, e.g. `bigscience/bloom`. - Or a path to a `directory` containing model weights saved using",
2. Loading,from_pretrained,force_download,bool,False,"force_download (`bool`, *optional*, defaults to `False`): Whether to force (re-)downloading the model weights and configuration files from the Hub, overriding the existing cache.",
2. Loading,from_pretrained,resume_download,Optional[bool],None,,
2. Loading,from_pretrained,proxies,Optional[Dict],None,"proxies (`Dict[str, str]`, *optional*): A dictionary of proxy servers to use by protocol or endpoint, e.g., `{'http': 'foo.bar:3128', 'http://hostname': 'foo.bar:4012'}`. The proxies are used on every...",
2. Loading,from_pretrained,token,"Union[bool, str, NoneType]",None,"token (`str` or `bool`, *optional*): The token to use as HTTP bearer authorization for remote files. By default, it will use the token cached when running `hf auth login`.",
2. Loading,from_pretrained,cache_dir,"Union[str, pathlib.Path, NoneType]",None,"cache_dir (`str`, `Path`, *optional*): Path to the folder where cached files are stored. local_files_only (`bool`, *optional*, defaults to `False`):",
2. Loading,from_pretrained,local_files_only,bool,False,"local_files_only (`bool`, *optional*, defaults to `False`): If `True`, avoid downloading the file and return the path to the local cached file if it exists. model_kwargs (`Dict`, *optional*):",
2. Loading,from_pretrained,revision,Optional[str],None,"revision (`str`, *optional*): Revision of the model on the Hub. Can be a branch name, a git tag or any commit id. Defaults to the latest commit on `main` branch.",
2. Loading,from_pretrained,model_kwargs,Any,**Required**,"model_kwargs (`Dict`, *optional*): Additional kwargs to pass to the model during initialization.",
2. Loading,load_checkpoint,path,str,**Required**,,
3. Configuration,ForecastConfig,max_context,int,0,,
3. Configuration,ForecastConfig,max_horizon,int,0,,
3. Configuration,ForecastConfig,normalize_inputs,bool,False,,
3. Configuration,ForecastConfig,window_size,int,0,,
3. Configuration,ForecastConfig,per_core_batch_size,int,1,,
3. Configuration,ForecastConfig,use_continuous_quantile_head,bool,False,,
3. Configuration,ForecastConfig,force_flip_invariance,bool,True,,
3. Configuration,ForecastConfig,infer_is_positive,bool,True,,
3. Configuration,ForecastConfig,fix_quantile_crossing,bool,False,,
3. Configuration,ForecastConfig,return_backcast,bool,False,,
4. Compilation,compile,forecast_config,timesfm.configs.ForecastConfig,**Required**,forecast_config: Configuration for forecasting flags. **kwargs: Additional keyword arguments to pass to model.compile().,
4. Compilation,compile,kwargs,Any,**Required**,**kwargs: Additional keyword arguments to pass to model.compile(). ,
5. Forecasting,forecast,horizon,int,**Required**,,
5. Forecasting,forecast,inputs,list[numpy.ndarray],**Required**,,
5. Forecasting,forecast_with_covariates,inputs,list[Sequence[float]],**Required**,inputs: A list of time series forecast contexts. Each context time series should be in a format convertible to JTensor by `jnp.array`. dynamic_numerical_covariates: A dict of dynamic numerical covaria...,
5. Forecasting,forecast_with_covariates,dynamic_numerical_covariates,"dict[str, Sequence[Sequence[float]]] | None",None,dynamic_numerical_covariates: A dict of dynamic numerical covariates. dynamic_categorical_covariates: A dict of dynamic categorical covariates. static_numerical_covariates: A dict of static numerical ...,
5. Forecasting,forecast_with_covariates,dynamic_categorical_covariates,"dict[str, Sequence[Sequence[int | str]]] | None",None,dynamic_categorical_covariates: A dict of dynamic categorical covariates. static_numerical_covariates: A dict of static numerical covariates. static_categorical_covariates: A dict of static categorica...,
5. Forecasting,forecast_with_covariates,static_numerical_covariates,"dict[str, Sequence[float]] | None",None,"static_numerical_covariates: A dict of static numerical covariates. static_categorical_covariates: A dict of static categorical covariates. xreg_mode: one of ""xreg + timesfm"" or ""timesfm + xreg"". ""xre...",
5. Forecasting,forecast_with_covariates,static_categorical_covariates,"dict[str, Sequence[int | str]] | None",None,"static_categorical_covariates: A dict of static categorical covariates. xreg_mode: one of ""xreg + timesfm"" or ""timesfm + xreg"". ""xreg + timesfm"" fits a model on the residuals of the TimesFM forecast. ...",
5. Forecasting,forecast_with_covariates,xreg_mode,str,xreg + timesfm,"xreg_mode: one of ""xreg + timesfm"" or ""timesfm + xreg"". ""xreg + timesfm"" fits a model on the residuals of the TimesFM forecast. ""timesfm + xreg"" fits a model on the targets then forecasts on the resid...",
5. Forecasting,forecast_with_covariates,normalize_xreg_target_per_input,bool,True,normalize_xreg_target_per_input: whether to normalize the xreg target per input in the given batch. ridge: ridge penalty for the linear model.,
